Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,4069,
Trigger Level,1.400E+00,
Source,CH1,
Vertical Units,A,
Vertical Units Div,0,
Vertical Units Extend Div,36,
Label, ,
Probe Type,1,
Probe Ratio,1.000E+02,
Vertical Scale,2.000E-01,
Vertical Position,-6.080E-01,
Horizontal Units,S,
Horizontal Scale,1.000E-03,
Horizontal Position,9.300E-04,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,1.000E-06,
Horizontal Old Scale,1.000E-03,
Horizontal Old Position,9.300E-04,
Firmware,V1.17,
Mode,Detail,
Waveform Data,
-3.609000e-03,-1.60e-02,
-3.608000e-03,-1.60e-02,
-3.607000e-03,1.12e-01,
-3.606000e-03,-1.60e-02,
-3.605000e-03,-9.60e-02,
-3.604000e-03,4.80e-02,
-3.603000e-03,-1.60e-02,
-3.602000e-03,-1.60e-02,
-3.601000e-03,2.40e-02,
-3.600000e-03,8.80e-02,
-3.599000e-03,6.40e-02,
-3.598000e-03,8.00e-03,
-3.597000e-03,8.00e-03,
-3.596000e-03,-1.92e-01,
-3.595000e-03,-7.20e-02,
-3.594000e-03,8.00e-03,
-3.593000e-03,-3.36e-01,
-3.592000e-03,-3.20e-02,
-3.591000e-03,-3.68e-01,
-3.590000e-03,-1.92e-01,
-3.589000e-03,-1.68e-01,
-3.588000e-03,-1.36e-01,
-3.587000e-03,-1.36e-01,
-3.586000e-03,-1.92e-01,
-3.585000e-03,-9.60e-02,
-3.584000e-03,-8.80e-02,
-3.583000e-03,-1.36e-01,
-3.582000e-03,-5.60e-02,
-3.581000e-03,-4.80e-02,
-3.580000e-03,-1.76e-01,
-3.579000e-03,1.12e-01,
-3.578000e-03,3.20e-02,
-3.577000e-03,-1.60e-02,
-3.576000e-03,8.00e-03,
-3.575000e-03,-1.36e-01,
-3.574000e-03,-1.52e-01,
-3.573000e-03,-1.12e-01,
-3.572000e-03,-1.28e-01,
-3.571000e-03,-5.60e-02,
-3.570000e-03,-8.00e-03,
-3.569000e-03,6.40e-02,
-3.568000e-03,-4.80e-02,
-3.567000e-03,-3.20e-02,
-3.566000e-03,1.28e-01,
-3.565000e-03,-5.60e-02,
-3.564000e-03,-2.16e-01,
-3.563000e-03,-1.92e-01,
-3.562000e-03,-2.72e-01,
-3.561000e-03,1.44e-01,
-3.560000e-03,2.40e-02,
-3.559000e-03,8.00e-03,
-3.558000e-03,-3.20e-02,
-3.557000e-03,-1.12e-01,
-3.556000e-03,-1.60e-02,
-3.555000e-03,-9.60e-02,
-3.554000e-03,1.68e-01,
-3.553000e-03,-3.20e-02,
-3.552000e-03,-8.00e-03,
-3.551000e-03,8.00e-03,
-3.550000e-03,-4.08e-01,
-3.549000e-03,1.04e-01,
-3.548000e-03,1.44e-01,
-3.547000e-03,1.84e-01,
-3.546000e-03,-4.80e-02,
-3.545000e-03,-1.28e-01,
-3.544000e-03,-4.80e-02,
-3.543000e-03,-4.80e-02,
-3.542000e-03,-9.60e-02,
-3.541000e-03,-4.80e-02,
-3.540000e-03,-8.80e-02,
-3.539000e-03,4.80e-02,
-3.538000e-03,-5.60e-02,
-3.537000e-03,6.40e-02,
-3.536000e-03,8.00e-03,
-3.535000e-03,3.20e-02,
-3.534000e-03,7.20e-02,
-3.533000e-03,-1.60e-02,
-3.532000e-03,1.84e-01,
-3.531000e-03,6.40e-02,
-3.530000e-03,-3.20e-02,
-3.529000e-03,3.20e-02,
-3.528000e-03,8.00e-03,
-3.527000e-03,-9.60e-02,
-3.526000e-03,-8.00e-03,
-3.525000e-03,8.00e-03,
-3.524000e-03,3.20e-02,
-3.523000e-03,-5.60e-02,
-3.522000e-03,-1.60e-02,
-3.521000e-03,-4.16e-01,
-3.520000e-03,6.40e-02,
-3.519000e-03,2.40e-02,
-3.518000e-03,3.20e-02,
-3.517000e-03,-4.80e-02,
-3.516000e-03,-8.00e-03,
-3.515000e-03,-9.60e-02,
-3.514000e-03,-4.80e-02,
